id,categorie,question,reponse,nb_documents_recuperes,score_similarite,temps_reponse_secondes,statut,source,corrige_bug_decoupage_region,timestamp
Q01,definitions,Qu'est-ce que la microfinance ?,"La microfinance est un système qui fournit des services financiers à des ménages pauvres, notamment le crédit, l'épargne, l'assurance et les services de transfert de fonds, pour améliorer leur niveau de vie et constituer un patrimoine.",23,,296.68,succes,S2,False,2026-07-30 10:27:24
Q02,definitions,Qu'est-ce que le microcredit ?,"Le microcrédit consiste en l'attribution de prêts de faible montant à des entrepreneurs ou à des artisans qui ne peuvent pas accéder aux prêts bancaires classiques. Il se développe surtout dans les pays en développement, où il permet de concrétiser des microprojets, favorisant l'activité et la création de richesses.",22,,184.73,succes,S2,False,2026-07-30 10:30:29
Q03,definitions,Qu'est-ce qu'une tontine ?,Une tontine est une association collective d’épargne qui réunit des épargnants pour investir en commun dans un actif financier ou dans un bien dont la propriété revient à une partie seulement des souscripteurs.,23,,196.3,succes,S2,False,2026-07-30 10:33:45
Q04,definitions,Qu'est-ce que la finance solidaire ?,"La finance solidaire est un concept économique qui applique aux secteurs financiers les principes de l'économie sociale et solidaire, en s'appuyant sur des règles éthiques telles que le principe de solidarité et de subsidiarité. Elle fait partie de la finance éthique et fournit une réponse alternative ou complémentaire au financement bancaire.",21,,181.91,succes,S2,False,2026-07-30 10:36:47
Q05,definitions,Comment fonctionne un systeme bancaire classique ?,"Voici une réponse détaillée :

Un système bancaire classique est composé de plusieurs parties qui travaillent ensemble pour fournir des services financiers aux consommateurs et aux entreprises. Voici les étapes clés du fonctionnement d'un système bancaire classique :

1. **Crédit** : Le système bancaire commence par la création de crédit, qui consiste à prêter de l'argent à des clients sous forme de dépôts ou de prêts. Les banques acquièrent ces crédits en achetant des titres d'emission publique ou en empruntant de l'argent auprès de la Banque centrale.
2. **Reserve obligatoire** : Pour garantir la stabilité du système, les banques sont tenues de maintenir une réserve obligatoire sur leurs dépôts. Cette réserve est utilisée pour couvrir les pertes potentielles en cas de défaut de paiement des clients.
3. **Prêts** : Les banques peuvent ensuite prêter ce crédit aux consommateurs et aux entreprises, sous forme de prêts à court terme ou de crédits à long terme.
4. **Depôts** : En parallèle, les consommateurs et les entreprises déposent leur argent dans les banques, qui l'utilisent pour financer leurs opérations.
5. **Banque centrale** : La Banque centrale est responsable de la régulation du système bancaire et de la stabilisation de la monnaie. Elle fixe les taux d'intérêt, émet des billets et contrôle la masse monétaire en circulation.

Cependant, le système bancaire classique a des limites importantes, notamment :

* **Risque de crédit** : Les banques risquent de ne pas récupérer leur crédit si les clients ne paient pas leurs dettes.
* **Incertitude du marché** : Le système bancaire est sensible aux fluctuations du marché et aux changements dans la demande et l'offre de crédits.
* **Cycles économiques** : Les banques sont souvent influencées par les cycles économiques, ce qui peut affecter leur capacité à prêter des crédits.

Pour atténuer ces risques, les banques ont développé des stratégies supplémentaires, telles que :

* **Diversification de leurs activités** : Les banques diversifient leurs activités pour réduire leur exposition au risque.
* **Amélioration des processus de prêt** : Les banques améliorent leurs processus de prêt pour mieux évaluer le crédit des clients et réduire les pertes potentielles.
* **Diversification des investissements** : Les banques diversifient leurs investissements pour réduire leur exposition au risque.

En résumé, un système bancaire classique fonctionne grâce à la création de crédit, aux réserves obligatoires, aux prêts et aux dépôts. Cependant, ce système est sujet à des risques tels que le risque de crédit, l'incertitude du marché et les cycles économiques. Les banques doivent développer des stratégies pour atténuer ces risques et assurer la stabilité du système.",25,,339.87,succes,S2,False,2026-07-30 10:42:27
Q06,reglementation,Quel est le role de la COBAC dans la microfinance ?,"La Commission Bancaire de l'Afrique centrale (COBAC) joue un rôle clé dans la régulation et le contrôle de l'activité des établissements de microfinance en zone CEMAC. Selon les règlements COBAC, la COBAC est responsable de superviser les établissements de microfinance pour garantir qu'ils opèrent de manière solide et prudentielle.

La COBAC fixe également des normes de gestion et règles prudentielles pour les établissements de microfinance, telles que la fixation du capital social minimum, la classification des catégories d'établissements de microfinance, et la supervision des activités financières. Elle assure également une bonne gestion des risques et une transparence dans les opérations des établissements.

En outre, la COBAC est chargée de régler les litiges entre les établissements de microfinance et leurs clients, ainsi que de fixer les sanctions pénales en cas de non-conformité aux règlements. Elle est également responsable de veiller à ce que les établissements de microfinance respectent les normes de gouvernance et de conformité.

Il convient de noter que la COBAC a également des mesures pour lutter contre l'exploitation des bénéficiaires des IMF, telles que la fixation d'un encours maximum de crédit accordé à un client, ainsi que la supervision des opérations des établissements de microfinance.",20,,387.25,succes,S2,False,2026-07-30 10:48:54
Q07,reglementation,Qu'est-ce que le reglement CEMAC/UMAC/COBAC n 01/17 ?,Je ne dispose pas de cette information dans mes documents.,17,,230.42,succes,S2,False,2026-07-30 10:52:45
Q08,reglementation,En quelle annee a ete adopte le premier reglement sur la microfinance en zone CEMAC ?,"Il n'y a pas d'année précise mentionnée dans le texte pour l'adoption du premier réglement sur la microfinance en zone CEMAC. Cependant, il est indiqué que le règlement COBAC N°01/17/CEMAC/UMAC/COBAC a été adopté en 2017, mais ce n'est pas nécessairement le premier réglement sur la microfinance dans la zone CEMAC.",23,,136.98,succes,S2,False,2026-07-30 10:55:02
Q09,reglementation,Quelles sont les conditions pour obtenir un agrement d'etablissement de microfinance ?,"Pour obtenir un agrément d'établissement de microfinance au Cameroun, il est nécessaire de remplir certaines conditions et de suivre une procédure spécifique. Cependant, je ne dispose pas des détails précis sur ces conditions et cette procédure dans mes documents.

Je ne disposing pas de cette information dans mes documents.",22,,266.42,succes,S2,False,2026-07-30 10:59:28
Q10,reglementation,Quelle autorite supervise les etablissements de microfinance au Cameroun ?,"La réponse est le MINISTERE DES FINANCES, en plus du secretariat général qui regroupe notamment la direction générale du trésor, de la coopération financière et monétaire. Enfin, l'Autorité des marchés financiers (AMF) supervise également les établissements de microfinance au Cameroun.",23,,121.93,succes,S2,False,2026-07-30 11:01:30
