id,categorie,question
S3-001,geo_tabulaire,Quelles sont les microfinances presentes a Yaounde ?
S3-002,geo_tabulaire,Quelles sont les microfinances presentes a Douala ?
S3-003,geo_tabulaire,Quelles sont les microfinances presentes a Bafoussam ?
S3-004,geo_tabulaire,Quelles sont les microfinances presentes a Bamenda ?
S3-005,geo_tabulaire,Quelles sont les microfinances presentes a Garoua ?
S3-006,geo_tabulaire,Quelles sont les microfinances presentes a Maroua ?
S3-007,geo_tabulaire,Quelles sont les microfinances presentes a Ngaoundere ?
S3-008,geo_tabulaire,Quelles sont les microfinances presentes a Bertoua ?
S3-009,geo_tabulaire,Quelles sont les microfinances presentes a Ebolowa ?
S3-010,geo_tabulaire,Quelles sont les microfinances presentes a Buea ?
S3-011,geo_tabulaire,Quelles sont les microfinances presentes a Limbe ?
S3-012,geo_tabulaire,Quelles sont les microfinances presentes a Kribi ?
S3-013,geo_tabulaire,Quelles sont les microfinances presentes a Edea ?
S3-014,geo_tabulaire,Quelles sont les microfinances presentes a Dschang ?
S3-015,geo_tabulaire,Quelles sont les microfinances presentes a Kumba ?
S3-016,geo_tabulaire,Quelles sont les microfinances presentes a Nkongsamba ?
S3-017,geo_tabulaire,Quelles sont les microfinances presentes a Sangmelima ?
S3-018,geo_tabulaire,Quelles sont les microfinances presentes a Bafia ?
S3-019,geo_tabulaire,Quelles sont les microfinances presentes a Mbalmayo ?
S3-020,geo_tabulaire,Quelles sont les microfinances presentes a Guider ?
S3-021,geo_tabulaire,Quelles sont les microfinances presentes a Mokolo ?
S3-022,geo_tabulaire,Quelles sont les microfinances presentes a Mora ?
S3-023,geo_tabulaire,Quelles sont les microfinances presentes a Tibati ?
S3-024,geo_tabulaire,Quelles sont les microfinances presentes a Mbouda ?
S3-025,geo_tabulaire,Quelles sont les microfinances presentes a Bandjoun ?
S3-026,geo_tabulaire,Quelles sont les microfinances presentes a Bafang ?
S3-027,geo_tabulaire,Quelles sont les microfinances presentes a Fundong ?
S3-028,geo_tabulaire,Quelles sont les microfinances presentes a Wum ?
S3-029,geo_tabulaire,Quelles sont les microfinances presentes a Bali ?
S3-030,geo_tabulaire,Quelles sont les microfinances presentes a Batouri ?
S3-031,geo_tabulaire,Quelles sont les microfinances presentes a Obala ?
S3-032,geo_tabulaire,Quelles sont les microfinances presentes a Loum ?
S3-033,geo_tabulaire,Quelles sont les microfinances presentes a Manjo ?
S3-034,geo_tabulaire,Quelles sont les microfinances presentes a Melong ?
S3-035,geo_tabulaire,Quelles sont les microfinances presentes a Penja ?
S3-036,geo_tabulaire,Quelles sont les microfinances presentes a Tiko ?
S3-037,geo_tabulaire,Quelles sont les microfinances presentes a Muyuka ?
S3-038,geo_tabulaire,Quelles sont les microfinances presentes a Mamfe ?
S3-039,geo_tabulaire,Quelles sont les microfinances presentes a Ndop ?
S3-040,geo_tabulaire,Quelles sont les microfinances presentes a Nkambe ?
S3-041,geo_tabulaire,Quelles sont les microfinances presentes a Mindif ?
S3-042,geo_tabulaire,Quelles sont les microfinances presentes a Gazawa ?
S3-043,geo_tabulaire,Quelles sont les microfinances presentes a Founangue ?
S3-044,geo_tabulaire,Peux-tu me lister les etablissements de microfinance situes a Yaounde ?
S3-045,geo_tabulaire,Peux-tu me lister les etablissements de microfinance situes a Douala ?
S3-046,geo_tabulaire,Peux-tu me lister les etablissements de microfinance situes a Bafoussam ?
S3-047,geo_tabulaire,Peux-tu me lister les etablissements de microfinance situes a Bamenda ?
S3-048,geo_tabulaire,Peux-tu me lister les etablissements de microfinance situes a Garoua ?
S3-049,geo_tabulaire,Peux-tu me lister les etablissements de microfinance situes a Maroua ?
S3-050,geo_tabulaire,Peux-tu me lister les etablissements de microfinance situes a Ngaoundere ?
S3-051,geo_tabulaire,Peux-tu me lister les etablissements de microfinance situes a Bertoua ?
S3-052,geo_tabulaire,Peux-tu me lister les etablissements de microfinance situes a Ebolowa ?
S3-053,geo_tabulaire,Peux-tu me lister les etablissements de microfinance situes a Buea ?
S3-054,geo_tabulaire,Peux-tu me lister les etablissements de microfinance situes a Limbe ?
S3-055,geo_tabulaire,Peux-tu me lister les etablissements de microfinance situes a Kribi ?
S3-056,geo_tabulaire,Peux-tu me lister les etablissements de microfinance situes a Edea ?
S3-057,geo_tabulaire,Peux-tu me lister les etablissements de microfinance situes a Dschang ?
S3-058,geo_tabulaire,Peux-tu me lister les etablissements de microfinance situes a Kumba ?
S3-059,geo_tabulaire,Peux-tu me lister les etablissements de microfinance situes a Nkongsamba ?
S3-060,geo_tabulaire,Peux-tu me lister les etablissements de microfinance situes a Sangmelima ?
S3-061,scenario,"Si j'habite a Yaounde, vers quel type d'etablissement de microfinance devrais-je me tourner ?"
S3-062,scenario,"Si j'habite a Douala, vers quel type d'etablissement de microfinance devrais-je me tourner ?"
S3-063,scenario,"Si j'habite a Bafoussam, vers quel type d'etablissement de microfinance devrais-je me tourner ?"
S3-064,scenario,"Si j'habite a Bamenda, vers quel type d'etablissement de microfinance devrais-je me tourner ?"
S3-065,scenario,"Si j'habite a Garoua, vers quel type d'etablissement de microfinance devrais-je me tourner ?"
S3-066,scenario,"Si j'habite a Maroua, vers quel type d'etablissement de microfinance devrais-je me tourner ?"
S3-067,scenario,"Si j'habite a Ngaoundere, vers quel type d'etablissement de microfinance devrais-je me tourner ?"
S3-068,scenario,"Si j'habite a Bertoua, vers quel type d'etablissement de microfinance devrais-je me tourner ?"
S3-069,scenario,"Si j'habite a Ebolowa, vers quel type d'etablissement de microfinance devrais-je me tourner ?"
S3-070,scenario,"Si j'habite a Buea, vers quel type d'etablissement de microfinance devrais-je me tourner ?"
S3-071,scenario,"Si j'habite a Limbe, vers quel type d'etablissement de microfinance devrais-je me tourner ?"
S3-072,scenario,"Si j'habite a Kribi, vers quel type d'etablissement de microfinance devrais-je me tourner ?"
