id,categorie,question,reponse,nb_documents_recuperes,score_similarite,temps_reponse_secondes,statut
S3-001,geo_tabulaire,Quelles sont les microfinances presentes a Yaounde ?,Je ne dispose pas de cette information dans mes documents.,12,0.1061,114.0,succes
S3-002,geo_tabulaire,Quelles sont les microfinances presentes a Douala ?,Je ne dispose pas de cette information dans mes documents.,12,0.0936,69.46,succes
S3-003,geo_tabulaire,Quelles sont les microfinances presentes a Bafoussam ?,"Selon les informations présentes dans le contexte, il y a deux établissements de microfinance situés à Bafoussam :

1. La Cooperative Credit Union (BATOCCUL) 
2. La Caisse Populaire Coopérative de l'Université de Dschang (SCECUDS), qui a une filiale à Bamougoum Centre, et dont la sous-entendue est qu'elle a une autre filiale située à Bafoussam.

Ces deux établissements sont agréés et ont été intégrés au réseau CamCCUL.",12,0.1078,154.45,succes
S3-004,geo_tabulaire,Quelles sont les microfinances presentes a Bamenda ?,"Selon les informations fournies, je ne dispose pas de cette information dans mes documents.",12,0.0973,83.13,succes
S3-005,geo_tabulaire,Quelles sont les microfinances presentes a Garoua ?,Je ne dispose pas de cette information dans mes documents.,12,0.0989,66.53,succes
S3-006,geo_tabulaire,Quelles sont les microfinances presentes a Maroua ?,Je ne dispose pas de cette information dans mes documents.,12,0.0967,65.5,succes
S3-007,geo_tabulaire,Quelles sont les microfinances presentes a Ngaoundere ?,"D'après le contexte fourni, il est possible de répondre aux questions suivantes :

- Les microfinances présentes à Ngaoundéré sont :
  - Le RESEAU MUFID UNION (6 MUFID DE NGAOUNDERE)
  - Le CACCUL (Caisse Populaire Coopérative du Plateau)
  - La NGACCUL (Ngaoundéré Coopérative Credit Union)

- Concernant les IMF qui prétendent viser les plus pauvres, il est difficile de généraliser l'efficacité de la microfinance pour plusieurs raisons : 
    1. Le biais de sélection, 
    2. La fongibilité de l'aide.

- Les scandales dans le monde de la microfinance soulignent la possibilité de dérives de ce système et mettent en exergue la nécessité d’un réel encadrement.",12,0.0937,161.81,succes
S3-008,geo_tabulaire,Quelles sont les microfinances presentes a Bertoua ?,"D'après le contexte fourni, il n'y a pas d'informations spécifiques sur les microfinances présentes à Bertoua. Cependant, selon la liste donnée dans l'Exploitation des bénéficiaires des IMF, deux établissements de microfinance sont mentionnés :

* MUFID DE BERTOUA (B.P 670 Bertoua)
* MUFID DE BATOURI (Centre Commercial B.P 170 Batouri)

Il est possible que MUFID DE BERTOUA soit l'un des établissements de microfinance présents à Bertoua, mais cela ne peut être confirmé sans plus d'informations.",12,0.097,118.09,succes
S3-009,geo_tabulaire,Quelles sont les microfinances presentes a Ebolowa ?,"D'après le contexte fourni, il apparaît que plusieurs établissements de microfinance sont présents à Ebolowa. Selon le tableau 15 en annexes, on trouve :

* EBOLOWA
* FODIS (Fonds Commun d’Investissement du Sud)
* Société Coopérative Régionale des CVECA et CECA du Sud EBOLOWA

Cependant, il convient de noter que le tableau 11 ne fournit pas d'informations spécifiques sur les microfinances présentes à Ebolowa.",12,0.0895,115.84,succes
S3-010,geo_tabulaire,Quelles sont les microfinances presentes a Buea ?,"Selon les informations disponibles, à Buea, on note que deux établissements de microfinance sont présents :

1.  Le BUEA P T Cooperative Credit Union LTD (BPTCCUL) dont le siège est situé à B.P 483 BUEA.
2.  La Police Savings and Loans Cooperative (BPCCUL) dont le siège est situé à GREAT SOPPO, au cœur de BUEA.",12,0.1005,92.61,succes
S3-011,geo_tabulaire,Quelles sont les microfinances presentes a Limbe ?,Je ne dispose pas de cette information dans mes documents.,12,0.0906,84.94,succes
S3-012,geo_tabulaire,Quelles sont les microfinances presentes a Kribi ?,Je ne dispose pas de cette information dans mes documents.,12,0.0993,68.34,succes
S3-013,geo_tabulaire,Quelles sont les microfinances presentes a Edea ?,Je ne dispose pas de cette information dans mes documents.,12,0.0972,63.61,succes
S3-014,geo_tabulaire,Quelles sont les microfinances presentes a Dschang ?,"D'après les informations fournies, il y a au moins deux établissements de microfinance présents à Dschang :

1. DSCHANG
2. BUSINES AND CAREER MICROFINANCE LTD (BCM) SA",12,0.1306,61.46,succes
